sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,hasReadProb.started,hasReadProb.stopped,hasReadProbResp.keys,hasReadProbResp.rt,hasReadProbResp.started,hasReadProbResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,True,transitive,False,The wine poured the waiter.,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.61638120003045,None,93.61768139991909,94.6329759999644,n,1.3795386001002043,94.61638120003045,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
48,False,transitive,False,The soup boiled the cook.,0,6,6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0187583998777,None,96.0257729999721,97.03534479998052,n,1.7849280999507755,97.0187583998777,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
60,False,intransitive,False,The cook heated in the soup.,0,7,7,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82166210003197,None,98.82848439994268,99.83802519994788,n,2.062099799979478,99.82166210003197,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
38,False,transitive,False,The bomb exploded the guards.,0,8,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.90783909987658,None,101.91197520005517,102.92459509987384,n,1.3997824999969453,102.90783909987658,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
11,True,transitive,True,The cook heated the soup.,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.326655899873,None,104.33116149995476,105.34342000004835,y,1.2528166000265628,105.326655899873,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
50,False,intransitive,False,The teacher opened after a short while.,0,10,10,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.59587770001963,None,106.60759639996104,107.61254010000266,n,2.007249799789861,107.59587770001963,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
5,True,transitive,True,The waiter poured the wine.,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.63221809989773,None,109.63492910005152,110.6488808998838,y,1.8512822999618948,110.63221809989773,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
64,False,intransitive,False,The seams tore along the sweater.,0,12,12,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.5017983999569,None,112.50685520004481,113.51842690003105,n,2.1175094000063837,113.5017983999569,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
63,False,intransitive,True,The sweater tore along the seams.,0,13,13,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.63827089988627,None,115.63898459984921,116.65508679999039,y,1.7653623998630792,116.63827089988627,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
1,True,transitive,True,The teacher opened the box. ,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42438139999285,None,118.42950530000962,119.44109490001574,y,1.2187445999588817,119.42438139999285,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
